session_id,rep_index,global_rep_id,err_knee_flexion_at_bottom,err_knee_flexion_range,err_trunk_lean_at_bottom,err_trunk_lean_mean,err_trunk_lean_max,err_trunk_lean_range,err_trunk_lean_at_end,err_descent_ascent_ratio,err_descent_time_s,err_ascent_time_s,err_knee_vel_max_descent,err_knee_vel_max_ascent,err_knee_jerk_max,err_knee_jerk_rms,err_normalized_jerk_cost
33048_1,0,32,0.1330522367167682,0.19289987516271115,0.024750173079009084,0.06878463696351877,0.022312417354420886,0.024663358271114606,0.010276800804527699,0.0475404275349387,0.02433373332223675,0.032634236164948406,0.024334504580333018,0.018450059657257437,0.0008619838838460173,9.45618610878665e-05,4.5932791404584187e-05
33048_1,1,33,0.0041576037573722415,0.01263744033271975,0.07104427934880013,0.0009872288883558261,4.572499467451306e-05,0.004944583270495053,0.18938919933836434,0.04044768324065089,0.0030531153608633985,0.00133879561359014,0.037165298170145813,0.14598275610139674,4.636766474833565e-05,0.007521193615170826,0.0003457983818299208
33063_6,0,34,0.0020894298819615726,0.01868668000412727,0.06804916115229373,0.11737913735197233,0.005118772823829124,0.03153453465691671,0.8588488999201437,0.03882378724274671,0.06426720067896964,0.0456337774294555,0.018165260944796494,0.17607937315656694,0.03157914151288982,0.0011805271212876013,0.0007938637109736898
33071_1,0,35,0.01768826170018426,0.014215864501516856,0.006144992574557255,0.07188822068232947,0.006771532928582042,0.00163350752563608,0.0916331669901719,0.003004133016836247,0.014612824315214447,0.017729469910808978,0.06982967586987122,0.08185485986110418,0.033748965168927,0.02743947086522634,6.10261283197009e-06
33071_1,1,36,0.005380154646518741,0.011244384737801632,0.00015885548415995644,0.00047253094000816845,0.00016026564026478247,0.00018948474749162916,0.005545771819083491,0.018984800892359568,0.014196997083634519,0.004809176292644644,0.022313360286152488,0.0030116388322597148,0.005388569496557548,0.001235966927779655,1.1865441753697588e-05
33072_1,0,37,0.00022828623725349893,0.001011832497903206,0.007558894136650167,0.10482946565080396,0.013530150879241257,0.023907533705490005,0.44241338516836975,0.00045980001145563246,0.0068369834030664765,0.01015121689105567,0.08346855340365227,0.018060253471351897,0.08560212272402169,0.11082957903180629,5.285959071236827e-05
33073_2,0,38,0.030560907279465557,0.05565407908888534,0.0030767962155117713,0.00016269324779405434,0.001476566459890372,0.0016204321265705789,0.012790339438338754,0.024700381395153046,0.01200266008031131,0.009792093250059352,0.01434087300396102,0.012748346403171304,0.0019323819484731613,0.000503536396636782,7.644416045293204e-06
33073_2,1,39,0.00015944620870210835,0.0012848845461195522,0.0013663059714882739,0.018618472881609574,0.007499485532159252,0.0003775061704690006,0.02163900327798981,0.0011303352473606982,0.002686125163793363,6.155234210610443e-05,9.499361680434304e-05,0.0027594469788095044,0.001528195220285872,0.0002564771202537964,5.212483434874919e-06
33082_1,0,40,0.0182857917952486,0.026679882505105838,0.004353661216848996,0.05222131133792332,0.005210221350923908,9.03224684277233e-06,0.004313908146046657,0.00012907583841159856,0.0009248849916176523,0.0008908398211919242,6.86308379401111e-07,0.003295214015925797,1.0862646671647277e-08,2.9964707781412326e-05,7.20448727953046e-06
33082_1,1,41,0.006508363595296227,0.01247031393039488,0.015938778938852215,0.006037663198417107,0.002245385652221395,0.0003259274679551259,0.004192952383584907,4.074835193893959e-05,0.0005884304924589822,0.0003029104729344187,0.004622547214960416,0.018112703509406355,0.005643746879118008,0.025818998196716632,0.00022567020735094208
